ID,Date,Description,Currency,Amount,Type,Tags,Account,Status,Memo,IOU
189156326,2023-04-29,"terugstorting examen rijbewijs",EUR,47,Refund,"Parental refund","current account",Cleared," "
189035183,2023-04-28,"examen rijbewijs",EUR,-47,Expense,"Parental refund","current account",Cleared," "
188592233,2023-04-17,campuskaart,EUR,-14.3,Expense,"Parental refund","current account",Cleared," "
188357643,2023-04-11,"slagerij tkint",EUR,-25.3,Expense,"Parental refund","current account",Cleared," "
188357642,2023-04-11,"betaling radiologisch centrum Asse",EUR,-32.5,Expense,"Parental refund","current account",Cleared," "
188357641,2023-04-11,"terugstorting radiologisch centrum Asse",EUR,32.5,Refund,"Parental refund","current account",Cleared," "
188365670,2023-04-10,"terugbetaling tkint",EUR,10.4,Refund,"Parental refund","current account",Cleared," "
188230547,2023-04-06,"digitalisatie van de videotapes",EUR,-26.6,Expense,"Parental refund","current account",Cleared," "
188207013,2023-04-05,"terugstorting dokter",EUR,4,Refund,"Parental refund","current account",Cleared," "
188207012,2023-04-05,"terugstorting fastum gel",EUR,17.31,Refund,"Parental refund","current account",Cleared," "
188207011,2023-04-05,"terugbetaling tkint",EUR,11.95,Refund,"Parental refund","current account",Cleared," "
188207010,2023-04-05,"terugbetaling metro Brussel",EUR,2.6,Refund,"Parental refund","current account",Cleared," "
188207009,2023-04-04,slagerij,EUR,-11.95,Expense,"Parental refund","current account",Cleared," "
188207008,2023-04-04,"fastum gel",EUR,-17.31,Expense,"Parental refund","current account",Cleared," "
188207007,2023-04-04,dokter,EUR,-4,Expense,"Parental refund","current account",Cleared," "
188207006,2023-04-03,"metro brussel",EUR,-2.6,Expense,"Parental refund","current account",Cleared," "
